Post Titles,pysentimiento Sentiment,VADER Sentiment
How is AMLO so cool?,Negative,Positive
Why is AMLO so popular?,Negative,Positive
Entonces no toda la gente ama a AMLO ?,Negative,Negative
Mexico's half a million march against AMLO,Negative,Neutral
AMLO en 60 Minutes.,Neutral,Neutral
What are your thoughts on Mexico's president A...,Neutral,Neutral
¿Por que el hate a AMLO?,Negative,Negative
Is true that AMLO has made no plans to track a...,Negative,Positive
Como fue realmente el gobierno de AMLO,Negative,Neutral
What do you think of AMLO saying that he wo...,Negative,Neutral
"In the USA, Amlo is constantly described as a...",Negative,Neutral
Do Mexicans actually like AMLO? Because fro...,Negative,Positive
Amlo es el anticristo,Negative,Neutral
"Mexican Redditors, is AMLO a left-wing or a ri...",Negative,Neutral
Amlo tiene otros datos,Negative,Neutral
¿Este sexenio fue el peor de todos con el p...,Negative,Neutral
Mexico election: leftist Amlo set for histo...,Neutral,Neutral
"I knew AMLO was popular, but not this popular.",Negative,Negative
AMLO rompe relaciones con Ecuador por la vio...,Negative,Neutral
What's your opinion on AMLO?,Neutral,Neutral
Pregunta incomoda a AMLO .,Negative,Neutral
Why do you guys hate Amlo Manuel Lopez Obrador?,Negative,Negative
How is AMLO so cool?,Negative,Positive
What's going on with how Mexican redditors went...,Negative,Neutral
Evil amlo,Negative,Negative
